log_area	enum_name	client_id	client_title
sandoria	A_SENTRYS_PERIL	0	A Sentry's Peril
sandoria	WATERS_OF_THE_CHEVAL	1	Waters of the Cheval
sandoria	ROSEL_THE_ARMORER	2	Rosel the Armorer
sandoria	THE_PICKPOCKET	3	The Pickpocket
sandoria	FATHER_AND_SON	4	Father and Son
sandoria	THE_SEAMSTRESS	5	The Seamstress
sandoria	THE_DISMAYED_CUSTOMER	6	The Dismayed Customer
sandoria	THE_TRADER_IN_THE_FOREST	7	The Trader in the Forest
sandoria	THE_SWEETEST_THINGS	8	The Sweetest Things
sandoria	THE_VICASQUES_SERMON	9	The Vicasque's Sermon
sandoria	A_SQUIRES_TEST	10	A Squire's Test
sandoria	GRAVE_CONCERNS	11	Grave Concerns
sandoria	THE_BRUGAIRE_CONSORTIUM	12	The Brugaire Consortium
sandoria	LIZARD_SKINS	15	Lizard Skins
sandoria	FLYERS_FOR_REGINE	16	Flyers for Regine
sandoria	GATES_TO_PARADISE	18	Gates to Paradise
sandoria	A_SQUIRES_TEST_II	19	A Squire's Test II
sandoria	TO_CURE_A_COUGH	20	To Cure a Cough
sandoria	TIGERS_TEETH	23	Tiger's Teeth
sandoria	UNDYING_FLAMES	26	Undying Flames
sandoria	A_PURCHASE_OF_ARMS	27	A Purchase of Arms
sandoria	A_KNIGHTS_TEST	29	A Knight's Test
sandoria	THE_MEDICINE_WOMAN	30	The Medicine Woman
sandoria	BLACK_TIGER_SKINS	31	Black Tiger Skins
sandoria	GROWING_FLOWERS	58	Growing Flowers
sandoria	TRIAL_BY_ICE	59	Trial by Ice
sandoria	THE_GENERALS_SECRET	60	The General's Secret
sandoria	THE_RUMOR	61	The Rumor
sandoria	HER_MAJESTYS_GARDEN	62	Her Majesty's Garden
sandoria	INTRODUCTION_TO_TEAMWORK	63	Introduction to Teamwork
sandoria	INTERMEDIATE_TEAMWORK	64	Intermediate Teamwork
sandoria	ADVANCED_TEAMWORK	65	Advanced Teamwork
sandoria	GRIMY_SIGNPOSTS	66	Grimy Signposts
sandoria	A_JOB_FOR_THE_CONSORTIUM	67	A Job for the Consortium
sandoria	TROUBLE_AT_THE_SLUICE	68	Trouble at the Sluice
sandoria	THE_MERCHANTS_BIDDING	69	The Merchant's Bidding
sandoria	UNEXPECTED_TREASURE	70	Unexpected Treasure
sandoria	BLACKMAIL	71	Blackmail
sandoria	THE_SETTING_SUN	72	The Setting Sun
sandoria	DISTANT_LOYALTIES	74	Distant Loyalties
sandoria	THE_RIVALRY	75	The Rivalry
sandoria	THE_COMPETITION	76	The Competition
sandoria	STARTING_A_FLAME	77	Starting a Flame
sandoria	FEAR_OF_THE_DARK	78	Fear of the Dark
sandoria	WARDING_VAMPIRES	79	Warding Vampires
sandoria	SLEEPLESS_NIGHTS	80	Sleepless Nights
sandoria	LUFETS_LAKE_SALT	81	Lufet's Lake Salt
sandoria	HEALING_THE_LAND	82	Healing the Land
sandoria	SORCERY_OF_THE_NORTH	83	Sorcery of the North
sandoria	THE_CRIMSON_TRIAL	84	The Crimson Trial
sandoria	ENVELOPED_IN_DARKNESS	85	Enveloped in Darkness
sandoria	PEACE_FOR_THE_SPIRIT	86	Peace for the Spirit
sandoria	MESSENGER_FROM_BEYOND	87	Messenger from Beyond
sandoria	PRELUDE_OF_BLACK_AND_WHITE	88	Prelude of Black and White
sandoria	PIEUJES_DECISION	89	Pieuje's Decision
sandoria	SHARPENING_THE_SWORD	90	Sharpening the Sword
sandoria	A_BOYS_DREAM	91	A Boy's Dream
sandoria	UNDER_OATH	92	Under Oath
sandoria	THE_HOLY_CREST	93	The Holy Crest
sandoria	A_CRAFTSMANS_WORK	94	A Craftsman's Work
sandoria	CHASING_QUOTAS	95	Chasing Quotas
sandoria	KNIGHT_STALKER	96	Knight Stalker
sandoria	ECO_WARRIOR	97	Eco-Warrior
sandoria	METHODS_CREATE_MADNESS	98	Methods Create Madness
sandoria	SOULS_IN_SHADOW	99	Souls in Shadow
sandoria	A_TASTE_FOR_MEAT	100	A Taste for Meat
sandoria	EXIT_THE_GAMBLER	101	Exit the Gambler
sandoria	OLD_WOUNDS	102	Old Wounds
sandoria	ESCORT_FOR_HIRE	103	Escort for Hire (San d'Oria)
